PARENTNO,PARENT_VER,PROD_STATUS,PROD_CDATE,PROD_MODDATE,GISONG,BRAND,EL_ASPD,EL_ACAPA,ASPSCD,PARTNO,PARTNAME,PART_VERSION,SPEC,GLCODE,PART_QTY,CMT,UCHECK
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,125100482,FRICTION PLATE,0,SIC,12500017H01,24,"GSB950 용 FRICTION PLATE 1대당 8EA (2023.03.22, 누적 8EA, 동광사우)
GSB950 낙하TEST용 FRICTION PLATE 16EA (2023.03.22, 누적 24EA, 동광사우)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12510210G8900,SAFETY (CAR),0,"GSB490DK,CAR RAIL=13/18/24K,SGS(18K,24K)",12510210G89,1,"충주 테스트 타워 임시카 5호기
[CAR BG]=2396
[AA]=2338
[BB]=1975
[CAR RAIL]=37K
[JJ]=1100
[EE]=1010, [X]=34",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12510227G9100,SAFETY (CAR),0,"GSB950,CAR RAIL=30K,GOV위치=R/L,F/R",12510227G91,1,"[충주타워 설치용 자재]
제작주석: 선입고 자재 BOM반영으로 제작 불필요
제조업체: 동광사우
청구일: 2025.02.04
담당자: 안전부품개발팀 유진환 매니저 (010-9362-7955)
수량: 1 EA ( 누계 1 EA)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12510246G0100,GOVERNOR HOLDING BRKT,0,"GSB950, GOVERNOR HOLDING BRACKET",12510246G01,1,"충주타워 #05 탄소섬유 설치용 (2024.04.05)

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 물류센터
- 입고요청일 : '24.09.30",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12600062G0100,ROLLER,0,RGS340 ASS,12600062G01,4,"충주타워 #05 탄소섬유 설치용 (2024.04.05)
RGS340

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 물류센터
- 입고요청일 : '24.09.30",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12600062G0200,ROLLER,0,"RGS340 ASS'Y, 적용 RAIL : 37K",12600062G02,4,"충주타워 #05 탄소섬유 설치용 (2024.04.05)
RGS340

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 물류센터
- 입고요청일 : '24.09.30",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12600063G0100,ADAPTOR,0,RGS340 ADAPTOR,12600063G01,6,"충주타워 #05 탄소섬유 설치용 (2024.11.07)
[LA]=200
-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 충주본사 F02앞
- 허이남 기성님  010-2280-2485
- 입고요청일 : '24.12.30 이전

추가 발주요청('24.12.04)
[LA]=500mm
-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 충주본사 F02앞
- 허이남 기성님  010-2280-2485
- 입고요청일 : '24.12.30 이전
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12610048G0300,WOOD GUIDE SHOE,0,WOODGUIDESHOE,12610048G03,4,"임시카용 임시 가이드 슈 발주

수량 : 4EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12610075G0800,ANTI BOUNCING DEVICE,3,"RGS125, P2 DOOR",12610075G08,1,"충주타워 5호기 설치용 ABD-1SET(2EA)
입고요청일: 3/19 이전
입고지: 충주산단 1로 128, 현대엘리베이터본사 F02앞
담당자: 신중곤 010-9817-1640
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12800009G0200,T-CABLE PROTECTOR,0,"WIRE,HIGH SPEED(T-CABLE PROTECTOR) ,1SET=120m",12800009G02,3,"충주타워 #5 탄소섬유 설치용 (2024.04.02) 
LL=120MR X 3EA

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 물류센터
- 입고요청일 : '24.11.30",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12800016G0100,HATCH CABLE HANGER,0,"ON WALL, 경신전선 3본, EE=>900, MAX TR=380M",12800016G01,1,"충주타워 #5 탄소섬유 설치용 (2024.04.02) 
TX=225, TY=563, EE=1010, UB=(1145), UC=(160), R1=(593)

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 물류센터
- 입고요청일 : '24.11.30",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12810020G0100,CAR CABLE HANGER,0,"GSB220,GSB363",12810020G01,2,"25.04.08 이엠텍 선발주 자재
충주타워 설치용 CAR CABLE HANGER 1EA 반영

수량 오류로 1EA 추가 반영_25.04.15 (이엠텍 선발주)
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12810033G0200,FITTING BRKT.,0,WIRE FITTING BRACKET,12810033G02,3,"충주타워 #5 탄소섬유 설치용 (2024.04.02) 
TP1=211, TP2=652, TP3 =250
RAIL 30K, AB=158, DA =18 

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 물류센터
- 입고요청일 : '24.06.28",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,12810034G0100,CAR CABLE HANGER,0,"고속용 T-CABLE 3본(SINGLE DECK, 기압제어기 X)",12810034G01,1,"충주타워 #5 탄소섬유 설치용 (2024.04.02) 
TX=225, TY=563, FB1=480, EE=1010, UB=(1145)

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 물류센터
- 입고요청일 : '24.09.30",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,13100033G0100,DOOR KEY,1,TRIANGLE TYPE DOOR KEY (BS KEY),13100033G01,1,2023.03.20_1SET 청구(제작업체: 이엠텍 또는 협신전기),1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,13100068G0100,CAR HEADER ARM,0,GENERAL(NON-CAPSULE),13100068G01,11,"충주타워 5호기 카헤더암, 클러치,행거플레이트 긴급 수정 및 선입고분 비용 처리 건
요청일 : 2025.03.26
수량 : 10 EA (누적 11EA)
업체 : 정일산업

2023.03.20_1SET 청구(제작업체: 정일)
TA=420,EE=1010",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,13100068G0200,CAR HEADER ARM,0,CAPSULE 적용,13100068G02,2,"2023.04.13 1SET 청구(제작업체: 정일)
TA=975, TB=195, EE=1010, BB=1975, SA=475, TC=720

충주타워 #5 탄소섬유 초고속 설치용
- 신청일 : 2024.04.17
- 입고요청일 : 2024.10.31
- 입고지 : 현대엘리베이터 본사 물류센터
- 제작업체 : 정일산업
- 수량 : 1 SET(누적 2SET)
- 규격 : TA=330, TB=820, BB=1975, EE=1010 
- 비고 : 충주타워 5호기용으로 표시하여 입고할 것",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,13100361G0100,COVER,0,"COVER (CAR DOOR OPER),1SCO",13100361G01,9,"25.05.30 도어 자재 비용 정산용
수량 : 9SET
업체 : 번창산업",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,13110090G9100,RELEASE CABLE,0,P2 적용. 잠금해제 장치,13110090G91,2,"2023.03.20_1SET 청구(제작업체: 정일)
HH=2200,DA=2383

충주타워 #5 탄소섬유 초고속 설치용
- 신청일 : 2024.04.16
- 입고요청일 : 2024.10.31
- 입고지 : 현대엘리베이터 본사 물류센터
- 제작업체 : 정일산업
- 수량 : 1 SET(누적 2SET)
- 규격 : HH=2200, DA=2383
- 비고 : 충주타워 5호기용으로 표시하여 입고할 것",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,13110157G090A,CAR DOOR OPER,5,"MH1,1SCO,CDL=Y, LOCKING DEVICE (사급)",13110157G09,1,"2023.10.25_1SET 청구
-사양 : JJ=1000, AA=1900, CH=HH=500
-내작 완료 후 담당자에게 연락 부탁드립니다.(010-8622-1929)
-부품별 제작업체 : 
 *DOOR MOTOR : 정일산업
 *CAR COMPONENT : 정일산업
 *DOOR OPER. FRAME : 정일산업
 *DOOR TRACK : 금강테크
 *TENSION PULLEY : 정일산업
 *PROXIMITY SWITCH : STOCK 자재",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,13110246G9100,CAR DOOR OPER,0,"UM2,1SCO",13110246G91,1,"JJ=1100,HH=2200,CH-HH=600,AA=2338,HC=631,EE=1010",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,13110246G910E,CAR DOOR OPER,0,"UM2,1SCO,PSI,CDL RELEASE",13110246G91,2,"2025.04.15 도어자재 청구 건
수량 : 2 SET
업체 : 정일산업",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,13110275B9100,CAR DOOR OPER COMP.,0,"SHIP,1SCO,M1,LEVER,INT4I,OPER ASSY 공장입고",13110275G91,1,"2025.06.18 도어자재 비용 청구 건
제작업체 : 정일산업
수량 : 1SET",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,133D0046G0100,LINER,1,"M1,HATCH DOOR OPER.",133D0046G01,28,"2025.04.15 도어자재 청구 건
수량 : 28EA
제작업체 : 정일산업",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,14100069G0200,MULTIBEAM,0,SE600_WECO957A81,14100069G02,1,HH=2200,1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,161001110,HANGER CASE BRKT,0,"S1-TYPE,CASE BRKT.",VC9550G01,4,"25.03.13 정일산업 선조치 자재
4EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,16100471G100B,HATCH DOOR OPER,0,"1SCO,HL1-1,BS,W/O KEY DEVICE",16100471G10,1,"2025.06.27 도어자재 발주 건
수량 : 1 SET
SIZE : JJ=900, HH=2100
입고지 : 현대엘리베이터 충주 본사 타워동
입고 요청일 : ~25.07.03",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,16200058G0200,GATE SWITCH,0,"HDC-3,CO",16200058G02,12,"2025.06.27 충주타워 샘플비용 청구 건
수량 : 12 SET
업체 : 금강테크",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18200009G0100,RAIL CLIP,0,"(SAVERA) SL-5, WITH HARDWARE(강도: 6.8)",18200009G01,1850,"충주타워 #5 탄소섬유 설치용 (2024.11.18) 
추가 레일클립 발주 반영(대주이엔티)

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 F02앞
- 입고요청일 : ~11.22 이전",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18200147G0400,RAIL LINER,0,SLIDING,18200147G04,67,"24.07.15
SAFETY DEVICE TEST용 52EA (누적 52EA)
입고요청일 : 24.07.17
입고지 : 충주 본관 연구소 기계부품개발팀
입고담당자 : 우석민 (010-4912-3564)

24.07.31
SAFETY DEVICE TEST용 자재 입고 
운임비 처리용 15EA(누적 67EA)
업체명 : 이진상사",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18200147G0500,RAIL LINER,0,SLIDING,18200147G05,505,"충주타워 #05 탄소섬유 설치용 (2024.10.11)
30/37K RAIL LINER 1.6T 발주 건(이진상사)

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 F02 앞
- 입고요청일 : '24.10.22",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18200214G0100,SEPARATING BEAM,1,CAR=8/13K,18200214G01,55,"충주타워 #5 탄소섬유 설치용 (2024.11.18) 
추가 볼트 대체자재 반영(우주공업사)

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 F02앞
- 입고요청일 : ~11.22 이전",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18200251G0200,SHIM LINER,1,FOR FISH PLATE (18/24K RAIL),18200251G02,104,"24.07.15
SAFETY DEVICE TEST용 104EA (누적 104EA)
입고요청일 : 24.07.17
입고지 : 충주 본관 연구소 기계부품개발팀
입고담당자 : 우석민 (010-4912-3564)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182003073,SUPPORT ANGLE,2,L25x25x3,182D002G01L91,92,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초

CWT BG = 1500",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182005037,RAIL CLIP (CWT),0,SLIDING RAIL CLIP,182C037H02,396,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182005052,SHIM LINER (CWT),1,FOR FISH PLATE (18/24/30K RAIL),t0.05x10x150,264,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182005052,SHIM LINER (CAR),1,FOR FISH PLATE (18/24/30K RAIL),t0.05x10x150,264,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182100112,RAIL BRKT (CWT),0,"CWT=24K,ON WALL,LEFT TYPE",182C027G01L05,92,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초

1. HH=355 (현장 실측 확인할 것-중요) 
2. L100x13, AB=SPECIFY, AC=50, AE=135, 30K SLIDING CLIP 
3. HOLE 가공 182D010G01L04(단, AB=180적용) 
4. 조립용 하드웨어(M16x60 BOLT,NUT,P/W,S/W)수배, FIXED CLIP은 수배제외",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182100208,RAIL BRKT (CWT),0,"CWT=24K,ON WALL,RIGHT TYPE",182C027G03L05,92,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초

1. HH=355 (현장 실측 확인할 것-중요) 
2. L100x13, AB=SPECIFY, AC=50, AE=135, 30K SLIDING CLIP 
3. HOLE 가공 182D010G01L04(단, AB=180적용) 
4. 조립용 하드웨어(M16x60 BOLT,NUT,P/W,S/W)수배, FIXED CLIP은 수배제외",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182101110,RAIL CLIP,2,"(SAVERA) SL-5, WITH HARDWARE(강도: 6.8)",18200009G01,396,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182101150,RAIL LINER,0,SAVER RAIL FOR SLIDING CLIP,18200017G02,384,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182101156,FIXING PLATE,1,"SAVERA RAIL T140-1/B, T140-2/B",18200016H02L02,396,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초

추가 자재발주(24.10.16) +198EA, 
입고일정 : 10월말 이전
입고지 : 현대E/L 충주공장",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182102274,RAIL (CAR),0,"30K, T140-1/BE, ISO 7465:2007",18200101G01L07L21,92,"입고지 : 충주 타워 #5호기

입고일자 : ~5월 초

CWT : 30K (국산 레일)



- 추가 입고 (24.08.20)
입고 수량 : 2EA
입고지 : 충주 본사
입고일자 : 9/10
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182102474,FISH PLATE,0,"FOR 37K(대주ENT), INCLUDE HARDWARE",18200123G02,92,"입고지 : 충주 타워 #5호기

입고일자 : ~5월 초

CAR : 37K (국산 레일)



- 추가 입고 (24.08.20)
입고 수량 : 4EA
입고지 : 충주 본사
입고일자 : 9/10
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182102660,RAIL BRKT (CAR),0,"CAR RAIL=<VAR>,ON WALL (W/O RAIL CLIP)",18200032G09L91,92,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초

- HH=250 
- [LAxLT]=L75x9, AB=180, AC=37.5, AE=280, DA=D18, DB=D18x36, AD=360 
- 37K SLIDING CLIP 
- HOLE 가공 182D010H01L90 
(AB=180, AC=37.5, DA=18, DC=18x36 적용) 
- 조립용 하드웨어(M16x60 BOLT,NUT,P/W,S/W)수배, FIXED CLIP은 수배제외 
- 2차 BRKT의 치수 20/AE/20 -> 23/AE/23으로 변경 할 것. (제작업체 요청)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182102665,RAIL BRKT (CAR),0,"CAR RAIL=<VAR>,ON BEAM (W/O 1ST BRKT, RAIL CLIP)",18200032G10L91,92,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초

- HH=350 
- [LAxLT]=L75x9, AB=180, AC=37.5, AE=280, DA=D18, DB=D18x36, AD=360 
- 37K SLIDING CLIP 
- HOLE 가공 182D010H01L90 
(AB=180, AC=37.5, DA=18, DC=18x36 적용) 
- 조립용 하드웨어(M16x60 BOLT,NUT,P/W,S/W)수배, FIXED CLIP은 수배제외 
- 2차 BRKT의 치수 20/AE/20 -> 23/AE/23으로 변경 할 것. (제작업체 요청)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18210374G0100,GUIDE RAIL,0,"37K, 대주ENT, 등급:BE+",18210374G01,92,"입고지 : 충주 타워 #5호기

입고일자 : ~5월 초

CAR : 37K (국산 레일)



- 추가 입고 (24.08.20)
입고 수량 : 2EA
입고지 : 충주 본사
입고일자 : 9/10",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18210377G0100,FISH PLATE,0,"30K, T140-1/BE, ISO 7465:2007, INCLUDE HARDWARE",18210377G01,92,"입고지 : 충주 타워 #5호기

입고일자 : ~5월 초

CWT : 30K (국산 레일)



- 추가 입고 (24.08.20)
입고 수량 : 4EA
입고지 : 충주 본사
입고일자 : 9/10
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18210387G0100,FIX PLATE,1,"SAVERA RAIL T140-1/B, T140-2/B",18210387G01,1276,"충주타워 설치용 추가자재 발주(설치팀 요청)_'24.10.28

외주가공비 추가반영('24.11.07)-376EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182104159,PLATE,0,"SLIDING CLIP 고정용 PLATE, 30K",VB2146G03L77,198,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182104219,RAIL LINER (CAR),0,FOR SLIDING,18200147G05,399,"-입고지 : 충주 타워 #5호기
-입고일정 : ~5월 초


24.07.16
safety 시험용 자재 운임비 처리용(박재현 M) 15EA
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182B0007G0100,GUIDE RAIL,1,"24K, SPD>=120",182B0007G01,11,"24.07.15
SAFETY DEVICE TEST용 11EA (누적 11EA)
입고요청일 : 24.07.29
입고지 : 아산타워 낙하승강로 앞
입고담당자 : 우석민 (010-4912-3564)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182C0033G0700,FISH PLATE,0,"24K,INCLUDE HARDWARE",182C0033G07,12,"24.07.15
SAFETY DEVICE TEST용 12EA (누적 12EA)
입고요청일 : 24.07.29
입고지 : 아산타워 낙하승강로 앞
입고담당자 : 우석민 (010-4912-3564)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182C0037G0100,RAIL CLIP,1,SLIDING,182C0037G01,52,"24.07.15
SAFETY DEVICE TEST용 52EA (누적 52EA)
입고요청일 : 24.07.15
입고지 : 충주 본관 연구소 기계부품개발팀
입고담당자 : 우석민 (010-4912-3564)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,182C0042G0100,RAIL CLIP,2,SLIDING,182C0042G01,55,"2025.02.05
정도중공업 선입고 자재",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18300064G0500,BUFFER,0,"OIL,M4",18300064G05,2,"[충주타워 5호기 임시카용 자재]
청구일자: 2024.08.26
청구수량: 2 EA (누계 2 EA)
제작업체: 건웅
청구자: 기계부품개발팀 유진환 매니저(010-9362-7955)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18510011G0100,GOV. ROPE,2,"6-6xS(19)+SFC, GRADE E",18510011G01,42,"25.03.18 충주타워 설치용
진성로프 선입고 완료
Gov Rope 40m + Clip 4EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18510011G0500,GOV. ROPE,1,"8-8xS(19)+SFC, GRADE A",18510011G05,462,"[충주타워 5호기 임시카용 자재]
청구일자: 2024.07.31
청구수량: 462 M (누계 462 M)
청구자: 기계부품개발팀 유진환 매니저(010-9362-7955)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18510011G0900,GOV. ROPE,0,"12-8xS(19)+SFC,GRADE A",18510011G09,462,"[충주타워 #5호기]
수량: 462m
입고지: 충주공장 F02",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18900011G0700,HOISTWAY LADDER,2,MATL=AL,18900011G07,20,"충주타워 Pit 설치용 사다리
LA=2500MM, RD=205MM
8EA 전량 변수 동일

25.03.10_수량추가 +12EA

입고요청일: 3/19 이전
입고지: 충주산단 1로 128, 현대엘리베이터본사 F02앞
담당자: 신중곤 010-9817-1640",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,18900269G0100,SWITCH ASSY,0,"W/T CONNETOR, 처짐감지, FOR COMPEN",18900269G01,4,"건웅기계 선발주 자재(25.04.29)
+3EA 추가

충주타워 #05 탄소섬유 설치용 (2024.04.05)
수정사항 없음, 하강감지 ZLDC03A1B

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 현대엘리베이터 본사 물류센터
- 입고요청일 : '24.10.31",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,189D0058G0100,SWITCH ASSY,0,"FOR COMPEN CHAIN, W/T CONNECTOR",189D0058G01,6,"FOR GOV. TENSION SHEAVE
(별도수배 / 사용수량 2ea)
제조사/모델명 : honeywell / SZL-WP-P (WITHOUT CABLE)

충주타워 4호기, 5호기 S/W 자재
- FOR GOV. TENSION SHEAVE (별도수배 / 수량 4ea) (G01 2EA, G02 2EA) (누적 6EA)
   제조사/모델명 : honeywell / SZL-WP-P (WITH CABLE)
- 신청일 25.04.29
- 입고 요청일 24.05.7
- 제작 업체 : 건웅기계
",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,19500001G010B,OIL (BUFFER),1,BUFFER OIL 32,19500001G01,16,"[충주타워 5호기 임시카용 자재]
청구일자: 2024.08.26
청구수량: 12 L (누계 16 L)
청구자: 기계부품개발팀 유진환 매니저(010-9362-7955)

[충주타워 5호기 임시카용 자재]
청구일자: 2024.08.01
청구수량: 4 L (누계 4 L)
청구자: 기계부품개발팀 유진환 매니저(010-9362-7955)",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20000218G0300,ENCODER,1,"H88-30C-2048DL, FOR ETS",20000218G03,1,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.20
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 1EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20000219G0300,ENCODER,1,"H88-30C-2048V, FOR GOV.(MAIN)",20000219G03,1,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.20
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 1EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20000246G0200,ENCODER,0,SBH-16384-5MD (40-15M-C59E),20000246G02,10,"2025.04.17
제어팀 김동희 청구 (40극, 15M 케이블 사양)
수량: 10EA
입고위치: 서비스부품센터 2층 전기전자제어실",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20300025G0100,PC BOARD,0,DIO,20300025G01,10,"2025.02.07 제어팀 김동희 청구 (010-6817-2552)
수량: 10EA
입고장소: 서비스부품센터 2층 전기전자연구실",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20300762G0100,MAIN BOARD,0,MAIN,20300762G01,3,"2024.11.21 전력전자팀 김동희
HIVD5000 MAIN BOARD 3EA 청구 건
입고장소: 서비스 부품센터 2층 전기전자 개발실",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20400957G0100,HALL POWER BOX ASSY,0,HALL BOX /W CAN REPEATER,20400957G01,1,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.20
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 1EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20400957G0200,HALL POWER BOX ASSY,0,HALL BOX /WO CAN REPEATER,20400957G02,1,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.20
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 1EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20401315G0400,TRANSFORMER,0,"1.2KVA, THROUGH DISK BRAKE/TRIPLE BRAKE",20401315G04,1,"25.02.17 KJU
-FERRULE TERMINAL LUG 0.75SQ 1SET
-FERRULE TERMINAL LUG 0.5SQ 1SET
-MARSEN FUSE 100EA
비용 처리 위한 대체자재 BOM 추가",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20411034G0100,OPTICAL CONVERTER,0,Optical to Lan Converter,20411034G01,1,"충주타워 #5 탄소섬유 설치용 

-[#5호기 탄소섬유밸트용] 표기하여 입고할 것
- 입고지 : 우진전장 충주공장 박종범 선임
- 입고요청일 : 제작 후 즉시 입고",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,20600131G0100,ELD,0,"HELD-2020S, W/ BATT",20600131G01,1,"380 V , 60 Hz",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,23000013G0100,CABLE BRACKET,1,HOIST CABLE FIXING,23000013G01,40,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.13
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 40EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,23000013G0200,CABLE BRACKET,1,HOIST CABLE FIXING,23000013G02,40,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.13
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 40EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,23000018G0100,CAR TOP DUCT,1,FOR CAR TOP,23000018G01,1,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.20
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 1EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,23000035G0100,JOB SITE TOOL,0,HIGH SPEED(PIPE+FLEXIBLE),23000035G01,10,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.20
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 10EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,23000035G0400,JOB SITE TOOL,0,HIGH SPEED(PIPE+FLEXIBLE),23000035G04,1,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.20
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 1EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,23000104G0700,FLEXIBLE TUBE,0,GW 28,23000104G07,1,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.20
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 1EA",1
V800627,134,RLS,2025-11-28,2025-11-28,,,,,,24000001G0400,HATCH JUNCTION BOX,0,"HATCH J.BOX, SUVF DOUBLE DECK",24000001G04,1,"충주타워 #5 초고속 설치용
- 신청일 : 2024.12.9
- 입고요청일 : 2024.12.20
- 입고지 : 현대엘리베이터 본사 F02
- 수량 : 1EA",1
